head_id	head_name	relation	tail_id	tail_name	confidence	source
11958	Definition:Intuitionistic Propositional Logic	equivalent_to	33	Definition:Logic	0.9	equiv_section
1156	Definition:Real Vector Space	equivalent_to	15000	Definition:Euclidean Metric	0.9	equiv_section
1555	Definition:Simple Function	equivalent_to	1691	Definition:Sigma-Algebra	0.9	equiv_section
3076	Definition:Countably Additive Function	equivalent_to	3074	Definition:Additive Function (Measure Theory)	0.9	equiv_section
15925	Definition:Additive Inverse/Number	equivalent_to	15459	Definition:Negative Number	0.9	equiv_section
127	Definition:Mapping	equivalent_to	15752	Definition:Addition in Minimally Inductive Set	0.9	equiv_section
3678	Euclidean Domain is UFD	equivalent_to	5	Fundamental Theorem of Arithmetic	0.9	equiv_section
18009	Definition:Number Base/Integer Part	equivalent_to	1550	Definition:Integration	0.9	equiv_section
1046	Definition:Stabilizer	equivalent_to	1047	Stabilizer is Subgroup	0.9	equiv_section
16884	Definition:Generating Circle of Cycloid	equivalent_to	16883	Definition:Cycloid/Generating Circle	0.9	equiv_section
8956	Definition:Final Topology	equivalent_to	1123	Definition:Topology	0.9	equiv_section
1542	Definition:Strictly Negative	equivalent_to	1813	Definition:Negative	0.9	equiv_section
25947	Definition:Total Ordering Induced by Strict Positivity Property	equivalent_to	4142	Definition:Strict Positivity Property	0.9	equiv_section
6274	Definition:Sequence of Distinct Terms	equivalent_to	7080	Definition:Discrete Measure	0.9	equiv_section
4014	Definition:Term of Sequence	equivalent_to	18118	Definition:Telescoping Series	0.9	equiv_section
362	Definition:Partially Ordered Set	equivalent_to	8288	Definition:Category of Ordered Sets	0.9	equiv_section
12654	Definition:Partial Subtraction	equivalent_to	11779	Definition:Subtraction/Integers	0.9	equiv_section
9539	Definition:Modulo Operation/Modulo One	equivalent_to	1982	Definition:Fractional Part	0.9	equiv_section
11779	Definition:Subtraction/Integers	equivalent_to	12654	Definition:Partial Subtraction	0.9	equiv_section
23918	Definition:Del Operator	equivalent_to	23947	Curl of Curl is Gradient of Divergence minus Laplacian	0.9	equiv_section
6578	Definition:Bounded Linear Operator	equivalent_to	24921	Definition:Norm/Bounded Linear Transformation	0.9	equiv_section
9858	Definition:Ray (Order Theory)	equivalent_to	16021	Definition:Open Ray	0.9	equiv_section
19	Definition:Set	equivalent_to	5708	Definition:Generator of Subsemigroup	0.9	equiv_section
7881	Definition:Proof System	equivalent_to	11393	Definition:Formal Language	0.9	equiv_section
11863	Definition:Language of Propositional Logic	equivalent_to	11906	Definition:Literal	0.9	equiv_section
6106	Definition:Norm	equivalent_to	15082	Axiom:Multiplicative Norm Axioms	0.9	equiv_section
25	Definition:Subset	equivalent_to	15700	Definition:Indexing Set/Family of Subsets	0.9	equiv_section
34	Definition:Atom (Logic)	equivalent_to	2313	Definition:Logical Complement/Complementary Pair	0.9	equiv_section
13197	Definition:Distinguish	equivalent_to	20139	Definition:Cullen Number	0.9	equiv_section
150	Definition:Power Set	equivalent_to	336	Definition:Set of All Mappings	0.9	equiv_section
2670	Definition:Spanning Subgraph	equivalent_to	274	Definition:Graph (Graph Theory)	0.9	equiv_section
716	Definition:Ordered Structure	equivalent_to	3352	Definition:Ordered Set	0.9	equiv_section
2556	Definition:Loop-Graph	equivalent_to	2555	Definition:Loop-Multigraph	0.9	equiv_section
309	Definition:Inclusion Mapping	equivalent_to	519	Definition:Canonical Injection (Abstract Algebra)	0.9	equiv_section
18399	Definition:Signature (Logic)/Predicate Logic	equivalent_to	16301	Definition:Model Theory	0.9	equiv_section
16030	Definition:Order of Structure/Finite Structure	equivalent_to	16031	Definition:Finite Structure	0.9	equiv_section
19973	Definition:Ramanujan-Nagell Number	equivalent_to	2146	Definition:Positive Integer	0.9	equiv_section
6107	Definition:Norm on Division Ring	equivalent_to	25583	Definition:Topology Induced by Division Ring Norm	0.9	equiv_section
19	Definition:Set	equivalent_to	9088	Definition:Compact Topological Space/Subspace	0.9	equiv_section
16450	Definition:Designatory Function	equivalent_to	16451	Definition:Singular Statement/Designatory Function	0.9	equiv_section
33	Definition:Logic	equivalent_to	14601	Definition:Following Term	0.9	equiv_section
24	Definition:Singleton	equivalent_to	15032	Definition:Supremum Metric/Bounded Real Functions on Interval	0.9	equiv_section
5947	Definition:Identity Element	equivalent_to	9718	Definition:Bounded Lattice	0.9	equiv_section
9088	Definition:Compact Topological Space/Subspace	equivalent_to	19	Definition:Set	0.9	equiv_section
16648	Definition:Regular Enneagon	equivalent_to	16629	Definition:Nonagon/Regular	0.9	equiv_section
25530	Definition:Closed Ball/Normed Division Ring	equivalent_to	27041	Closed Ball in Normed Division Ring is Closed Ball in Induced Metric	0.9	equiv_section
19565	Definition:Orthogonal Latin Squares	equivalent_to	732	Definition:Cardinality	0.9	equiv_section
3173	Definition:Failure	equivalent_to	3157	Bernoulli Process as Geometric Distribution	0.9	equiv_section
30	Definition:Statement	equivalent_to	7870	Definition:Mathematical Logic	0.9	equiv_section
2964	Definition:Residue (Modulo Arithmetic)	equivalent_to	1925	Definition:Set of Residue Classes/Least Positive	0.9	equiv_section
16639	Definition:Regular Nonagon	equivalent_to	16629	Definition:Nonagon/Regular	0.9	equiv_section
16029	Definition:Order of Structure/Infinite Structure	equivalent_to	16032	Definition:Infinite Structure	0.9	equiv_section
25647	Definition:Real Variable	equivalent_to	19873	Definition:Canonical Variable	0.9	equiv_section
1182	Definition:Real Number Plane	equivalent_to	14999	Definition:Chebyshev Distance/General Definition	0.9	equiv_section
2667	Definition:Right Coset	equivalent_to	6194	Definition:Transversal (Group Theory)/Right Transversal	0.9	equiv_section
750	Definition:Operation	equivalent_to	23943	Divergence of Vector Cross Product	0.9	equiv_section
17830	Definition:Field Norm of Quaternion	equivalent_to	4659	Definition:Triangle Inequality	0.9	equiv_section
3082	Definition:Subadditive Function (Measure Theory)	equivalent_to	3084	Finite Union of Sets in Subadditive Function	0.9	equiv_section
15000	Definition:Euclidean Metric	equivalent_to	1156	Definition:Real Vector Space	0.9	equiv_section
25278	Sequence of Powers of Number less than One/Complex Numbers	equivalent_to	1857	Definition:Basic Null Sequence	0.9	equiv_section
17830	Definition:Field Norm of Quaternion	equivalent_to	578	Definition:Ring (Abstract Algebra)	0.9	equiv_section
24921	Definition:Norm/Bounded Linear Transformation	equivalent_to	6528	Definition:Bounded Linear Transformation	0.9	equiv_section
14601	Definition:Following Term	equivalent_to	9776	Definition:Consequent	0.9	equiv_section
4083	Definition:Abuse of Notation	equivalent_to	7325	Definition:Integral of Positive Measurable Function	0.9	equiv_section
15254	Definition:Wirth Interval Notation	equivalent_to	9858	Definition:Ray (Order Theory)	0.9	equiv_section
10500	Definition:Ring of Polynomials in Ring Element	equivalent_to	578	Definition:Ring (Abstract Algebra)	0.9	equiv_section
16683	Definition:Earth	equivalent_to	16717	Definition:Stationary	0.9	equiv_section
18820	Definition:Payoff Function	equivalent_to	18790	Definition:Consequence (Game Theory)	0.9	equiv_section
